sina_code,name,tag,amount,today_pct,turnover,open_pct,price,risk_level,risk_msg,trigger_next,risk_rule,deviation_val_10d,deviation_val_30d,call_auction_ratio,last_amount,limit_up_type,pct_10,link_dragon,vol,vol_prev,vol_ratio,code
sz300045,华力创通,★人气/成交/1板/[换手板]/航天/卫星/低空,5659000000.0,20.01,31.36,5.81,37.42,🟢 Safe,-,-,,0.0,0.0,0,4314000000.0,0,41.74,,0,0,0,300045
sz300065,海兰信,🐉龙虎榜/💰养家/3日(2.0亿)/💰机构/3日(1.8亿)/💰北向/3日(7.8亿)/💰中山东路/3日(2.0亿)/🏃中山东路/3日(2.1亿)/🏃养家/3日(2.1亿)/🏃北向/3日(7.4亿)/🏃机构/3日(2.0亿)/★人气/成交/首板/[换手板],5649000000.0,14.59,33.28,5.3,26.39,🟢 Safe,-,-,,0.0,0.0,0,6122000000.0,0,44.52,,0,0,0,300065
sh601888,中国中免,★人气/成交,5641000000.0,-0.4,3.03,0.01,95.4,🟢 Safe,-,-,,0.0,0.0,0,0.0,0,11.96,,0,0,0,601888
sz002371,北方华创,★人气/成交,5639000000.0,0.87,1.54,0.11,501.85,🟢 Safe,-,-,,0.0,0.0,0,5402000000.0,0,6.05,,0,0,0,002371
sh603667,五洲新春,持仓/五洲新春/★人气/成交,5568000000.0,2.8,18.95,4.61,80.3,🟢 Safe,-,-,,0.0,0.0,0,0.0,0,51.65,,0,0,0,603667
sz002837,英维克,★人气/成交,5547000000.0,-2.06,6.52,-1.16,100.08,🟢 Safe,-,-,,0.0,0.0,0,5087000000.0,0,-9.68,,0,0,0,002837
sh688008,澜起科技,★人气/成交,5458000000.0,-0.11,3.59,1.34,132.24,🟢 Safe,-,-,,0.0,0.0,0,4698000000.0,0,9.02,,0,0,0,688008
sh603799,华友钴业,★人气/成交,5423000000.0,-1.42,3.85,1.38,74.87,🟢 Safe,-,-,,0.0,0.0,0,0.0,0,14.53,,0,0,0,603799
sh600589,大位科技,★人气/成交/首板/👀焚诀预期/炸板/[换手板],5384000000.0,6.5,35.33,4.13,10.32,🟢 Safe,-,-,,0.0,0.0,0,0.0,0,41.95,,0,0,0,600589
sz002384,东山精密,★人气/成交,5382000000.0,-3.71,5.01,-0.99,78.44,🟢 Safe,-,-,,0.0,0.0,0,3268000000.0,0,-8.66,,0,0,0,002384
sh601611,中国核建,F佬/中国核建(核电中军/容量核心)/★人气/成交/1板/[换手板],5360000000.0,9.98,9.37,0.06,19.94,🟢 Safe,-,-,,0.0,0.0,0,0.0,0,51.18,,0,0,0,601611
sz300724,捷佳伟创,★人气/成交/首板/[换手板],5265000000.0,12.77,15.91,0.67,116.55,🟢 Safe,-,-,,0.0,0.0,0,2705000000.0,0,25.99,,0,0,0,300724
sh600435,北方导航,★人气/成交,5244000000.0,5.75,16.11,0.1,21.87,🟢 Safe,-,-,,0.0,0.0,0,5610000000.0,0,48.47,,0,0,0,600435
sz002625,光启技术,★人气/成交,5240000000.0,3.9,4.25,4.64,57.57,🟢 Safe,-,-,,0.0,0.0,0,4122999999.9999995,0,11.33,,0,0,0,002625
sz300253,卫宁健康,🐉龙虎榜/💰北向/3日(3.5亿)/💰机构/3日(1.5亿)/🏃北向/3日(3.2亿)/🏃机构/3日(1.8亿)/★人气/成交/1板/[换手板]/AI,5235000000.0,19.98,23.49,6.57,12.97,🟢 Safe,-,-,,0.0,0.0,0,3528000000.0,0,47.39,,0,0,0,300253
sz002324,普利特,F佬/普利特(脑机/辨识度)/★人气/成交,5230000000.0,4.82,29.15,0.0,23.9,🟢 Safe,-,-,,0.0,0.0,0,6794000000.0,0,63.25,,0,0,0,002324
sz300118,东方日升,★人气/成交/首板/👀焚诀预期/炸板/[换手板],5190000000.0,14.84,28.54,7.18,19.5,🟢 Safe,-,-,,0.0,0.0,0,4833000000.0,0,31.31,,0,0,0,300118
sz000988,华工科技,★人气/成交,5168000000.0,1.59,6.14,0.61,84.35,🟢 Safe,-,-,,0.0,0.0,0,5999000000.0,0,5.28,,0,0,0,000988
sh601933,永辉超市,★人气/成交,5151000000.0,3.88,10.83,-0.58,5.36,🟢 Safe,-,-,,0.0,0.0,0,0.0,0,1.52,,0,0,0,601933
sh600519,贵州茅台,★人气/成交,5136000000.0,0.29,0.29,0.0,1423.23,🟢 Safe,-,-,,0.0,0.0,0,4244000000.0,0,0.64,,0,0,0,600519
sz301308,江波龙,★人气/成交,5120000000.0,2.8,6.64,3.04,285.32,🟢 Safe,-,-,,0.0,0.0,0,3911000000.0,0,11.79,,0,0,0,301308
sh688521,芯原股份,★人气/成交,5111000000.0,3.08,5.64,1.99,175.21,🟢 Safe,-,-,,0.0,0.0,0,0.0,0,37.26,,0,0,0,688521
sh600343,航天动力,★人气/成交/航天,5021000000.0,6.9,16.26,-0.86,49.6,🟢 Safe,-,-,,0.0,0.0,0,4478000000.0,0,14.63,,0,0,0,600343
sz002156,通富微电,★人气/成交,5003000000.0,1.03,7.78,0.17,42.26,🟢 Safe,-,-,,0.0,0.0,0,4351000000.0,0,12.33,,0,0,0,002156
sz300014,亿纬锂能,★人气/成交,4990000000.0,-1.49,3.69,-1.07,68.21,🟢 Safe,-,-,,0.0,0.0,0,2979000000.0,0,-3.74,,0,0,0,300014
sh600036,招商银行,★人气/成交,4888000000.0,-0.44,0.58,0.0,41.12,🟢 Safe,-,-,,0.0,0.0,0,4070000000.0000005,0,-1.58,,0,0,0,600036
sz300766,每日互动,★人气/成交/1板/[换手板]/AI/智能体/卫星,4861000000.0,20.01,30.75,8.14,46.61,🟢 Safe,-,-,,0.0,0.0,0,2495000000.0,0,49.73,,0,0,0,300766
sz002463,沪电股份,★人气/成交,4815000000.0,-1.26,3.65,-0.29,69.12,🟢 Safe,-,-,,0.0,0.0,0,4648000000.0,0,-4.58,,0,0,0,002463
sh688027,国盾量子,★人气/成交/首板/[换手板],4786000000.0,14.3,9.75,0.0,658.0,🟢 Safe,-,-,,0.0,0.0,0,1898999999.9999998,0,27.33,,0,0,0,688027
sz301293,三博脑科,★人气/成交,4772000000.0,6.95,30.41,0.9,98.5,🟢 Safe,-,-,,0.0,0.0,0,4546000000.0,0,71.39,,0,0,0,301293
