sina_code,name,tag,amount,today_pct,turnover,open_pct,price,risk_level,risk_msg,trigger_next,risk_rule,pct_10,link_dragon,vol,vol_prev,vol_ratio,code
sh600276,恒瑞医药,★人气/成交/💰大战场,3364000000.0,1.25,0.82,-0.08,63.85,🟢 Safe,-,-,,4.79,,0,0,0,600276
sh600183,生益科技,★人气/成交/💰大战场,3294000000.0,0.49,1.91,-1.44,72.4,🟢 Safe,-,-,,10.42,,0,0,0,600183
sz002865,钧达股份,★人气/成交/首板/炸板/反包预期/💰大战场,3290999999.9999995,7.47,24.41,-1.67,62.3,🟢 Safe,-,-,,25.86,,0,0,0,002865
sh600410,华胜天成,★人气/成交/💰大战场,3274000000.0,1.63,15.89,-0.27,18.75,🟢 Safe,-,-,,9.71,,0,0,0,600410
sh600855,航天长峰,★人气/成交/航天/💰大战场,3271000000.0,3.1,27.01,0.0,26.24,🟢 Safe,-,-,,40.62,,0,0,0,600855
sz002549,凯美特气,★人气/成交/💰大战场,3263000000.0000005,4.04,20.28,1.97,23.2,🟢 Safe,-,-,,6.37,,0,0,0,002549
sh600893,航发动力,★人气/成交/💰大战场,3242000000.0,3.05,2.87,-0.85,42.61,🟢 Safe,-,-,,10.36,,0,0,0,600893
sz300236,上海新阳,★人气/成交/首板/💰大战场,3239000000.0,9.9,15.27,3.5,77.96,🟢 Safe,-,-,,17.41,,0,0,0,300236
sz002261,拓维信息,★人气/成交/💰大战场,3235000000.0,-1.58,8.34,0.0,33.73,🟢 Safe,-,-,,11.43,,0,0,0,002261
sz300007,汉威科技,★人气/成交/💰大战场,3228000000.0,-3.84,18.84,-3.1,59.63,🟢 Safe,-,-,,25.22,,0,0,0,300007
sz002405,四维图新,★人气/成交/💰大战场,3213000000.0000005,2.87,13.1,0.69,10.38,🟢 Safe,-,-,,15.08,,0,0,0,002405
sz002281,光迅科技,★人气/成交/💰大战场,3174000000.0,2.45,5.68,1.63,71.18,🟢 Safe,-,-,,1.34,,0,0,0,002281
sz000333,美的集团,★人气/成交/💰大战场,3174000000.0,0.67,0.59,0.19,79.37,🟢 Safe,-,-,,0.27,,0,0,0,000333
sz300260,新莱应材,★人气/成交/💰大战场,3168000000.0,5.86,18.01,1.89,61.59,🟢 Safe,-,-,,12.02,,0,0,0,300260
sz002335,科华数据,★人气/成交/💰大战场,3167000000.0,5.17,11.61,-0.53,61.27,🟢 Safe,-,-,,14.42,,0,0,0,002335
sz000630,铜陵有色,★人气/成交/💰大战场,3162000000.0,-1.52,4.81,0.17,5.83,🟢 Safe,-,-,,5.05,,0,0,0,000630
sz300342,天银机电,★人气/成交/💰大战场,3078000000.0,-1.41,21.67,-3.89,34.2,🟢 Safe,-,-,,16.8,,0,0,0,300342
sh600021,上海电力,★人气/成交/💰大战场,3077000000.0,4.33,5.04,-0.1,21.69,🟢 Safe,-,-,,10.21,,0,0,0,600021
sz300503,昊志机电,★人气/成交/💰大战场,3055000000.0,-3.7,21.11,-6.32,59.62, 安全,65.25%,--,10日偏离值100%,67.19,,0,0,0,300503
sz300576,容大感光,★人气/成交/💰大战场,3009000000.0,9.75,29.3,5.89,44.57,🟢 Safe,-,-,,9.37,,0,0,0,300576
sz002945,华林证券,★人气/成交/首板/炸板/反包预期/💰大战场,2994000000.0,5.38,5.76,5.66,18.8,🟢 Safe,-,-,,31.01,,0,0,0,002945
sz002851,麦格米特,★人气/成交/💰大战场,2991000000.0,7.92,6.67,-0.29,99.58,🟢 Safe,-,-,,15.39,,0,0,0,002851
sh601689,拓普集团,★人气/成交/💰大战场,2986000000.0,-2.09,2.29,-1.2,74.8,🟢 Safe,-,-,,6.33,,0,0,0,601689
sz002716,湖南白银,★人气/成交/💰大战场,2982000000.0,-0.87,15.76,1.49,7.99,🟢 Safe,-,-,,19.25,,0,0,0,002716
sz002222,福晶科技,★人气/成交/首板/炸板/反包预期/💰大战场,2976000000.0,5.42,10.3,-0.02,61.31,🟢 Safe,-,-,,2.37,,0,0,0,002222
sh601336,新华保险,★人气/成交/💰大战场,2965000000.0,1.88,1.73,-0.37,82.32,🟢 Safe,-,-,,14.97,,0,0,0,601336
sh600330,天通股份,★人气/成交/💰大战场,2965000000.0,7.67,18.1,0.08,13.61,🟢 Safe,-,-,,13.42,,0,0,0,600330
sh600363,联创光电,★人气/成交/💰大战场,2958000000.0,1.73,9.29,-1.54,70.15,🟢 Safe,-,-,,20.55,,0,0,0,600363
sz002414,高德红外,★人气/成交/💰大战场,2940000000.0,-0.18,5.31,0.0,16.28,🟢 Safe,-,-,,12.51,,0,0,0,002414
sh600938,中国海油,★人气/成交/💰大战场,2930000000.0,-4.03,3.41,-1.14,28.59,🟢 Safe,-,-,,3.4,,0,0,0,600938
sh600392,盛和资源,★人气/成交/💰大战场,2930000000.0,2.99,7.23,1.56,23.07,🟢 Safe,-,-,,8.16,,0,0,0,600392
sh601211,国泰海通,★人气/成交/💰大战场,2892000000.0,-0.31,0.97,-0.18,22.22,🟢 Safe,-,-,,6.72,,0,0,0,601211
sz300337,银邦股份,★人气/成交/💰大战场,2883000000.0,2.58,23.61,-6.53,17.9,🟢 Safe,-,-,,39.52,,0,0,0,300337
