板块名称		涨幅		1分钟涨速		4分钟涨速		主力净量		主力金额		涨停数		涨家数		跌家数		领涨股		5日涨幅		10日涨幅		20日涨幅		概念解析		创建日期		年初至今		20160127至今		量比		总手		总金额		总市值		流通市值
机场航运	+0.69%		+0.02%		+0.02%		0.14		-61411670	0		11		2		中信海直	-0.09%		+1.47%		+6.88%		--		--		-0.63%		--		0.96		1157478300	6737309100	813146420000	665709210000
农产品加工	+0.43%		+0.05%		+0.05%		-0.82		-302827900	1		28		10		*ST万方		+1.56%		+0.51%		+2.90%		--		--		+2.13%		+70.14%		1.19		742842540	6999889600	557056760000	374300770000
种植业与林业	+0.37%		+0.07%		+0.07%		-0.69		-126230970	0		22		7		诺 普 信	+3.26%		+1.95%		+4.81%		--		--		+3.06%		+91.12%		1.14		1332242690	12962156600	226014490000	216140460000
银行		+0.31%		-0.02%		-0.03%		-0.00		-623423500	0		26		8		厦门银行	-0.85%		-1.05%		-0.59%		--		--		-0.98%		--		1.02		3551442700	29569411000	15372677000000	10376173400000
生物制品	+0.29%		+0.01%		+0.01%		-0.21		-173845370	1		31		22		东宝生物	+4.66%		+6.01%		+5.09%		--		--		+8.12%		--		1.27		636309470	14577457000	904438510000	708543780000
中药		+0.28%		-0.02%		-0.02%		-1.00		-546911980	1		44		22		万邦德		+1.98%		+0.76%		-0.10%		--		--		+4.23%		--		1.32		1467703700	13900494000	904328510000	865596150000
化学制药	+0.28%		+0.04%		+0.04%		-0.92		-1465095500	2		88		64		向日葵		+4.31%		+5.29%		+5.09%		--		--		+7.53%		--		1.20		2666766500	46118453000	2905787500000	2208932900000
汽车整车	+0.26%		+0.04%		+0.04%		-0.47		-883964900	0		15		6		北汽蓝谷	+1.73%		+1.00%		+1.09%		--		--		+1.67%		--		1.16		1325241780	20554913000	2151001300000	1458797100000
煤炭开采加工	-0.11%		+0.03%		+0.03%		-0.11		-98425240	0		13		16		宝泰隆		+5.81%		+5.09%		+3.60%		--		--		+6.38%		+147.96%	0.88		1364311300	10614464700	1896280500000	1603283300000
石油加工贸易	-0.14%		+0.05%		+0.05%		-0.09		-376870680	0		13		14		润贝航科	+1.22%		+4.47%		+7.15%		--		--		+1.71%		--		1.05		1202162140	9982095400	3052596300000	2665346200000
房地产		-0.18%		-0.00%		-0.00%		-1.85		-2101968400	1		32		46		大名城		+3.58%		+4.65%		+5.19%		--		--		+4.90%		--		1.05		5283627900	31254364000	1112689550000	1041555760000
农化制品	-0.22%		+0.01%		+0.01%		-1.80		-918931800	0		32		29		联化科技	+1.92%		+3.14%		+6.32%		--		--		+3.68%		--		1.25		1823073300	24086672000	1030365250000	971152840000
油气开采及服务	-0.34%		+0.05%		+0.05%		-1.18		-424646150	0		4		14		洲际油气	+5.55%		+7.61%		+8.40%		--		--		+7.41%		+14.44%		1.02		1644750700	8701894100	1692086600000	373447930000
保险		-0.80%		+0.09%		+0.09%		-0.62		-2632570400	0		1		4		中国人寿	+1.13%		+4.75%		+15.12%		--		--		+7.93%		+8.73%		0.99		376203640	18929300000	3740295300000	2575069000000
