代码		    名称		涨幅		现价		当日成交额		主力净额		资金流向		主力资金流向[20260112]		净流入		换手		量比		流通市值		连续涨停天数		涨停原因类别		所属行业		所属概念		涨停开板次数		几天几板		10日涨幅		20日涨幅		竞价涨幅%		开盘涨幅		早盘竞价金额		尾盘竞价金额		首次涨停时间		最终涨停时间		
SH600054	黄山旅游	+0.44%		11.49		6884.81万	-8431310	1248.98万	16.36万		12489757	1.17%		1.09		58.98亿		--		--		旅游及酒店	【旅游概念;参股券商;国企改革;DeepSeek概念;区块链;沪股通】	--		0		+1.06%		+3.14%		+0.09		+0.09%		413517		1669577		--		--		
SH600055	万东医疗	+2.53%		17.40		2.52亿		-3209108	354.09万	314.30万	3540883		2.07%		1.71		122.33亿	--		--		医疗器械	【医疗器械概念;智能医疗;京津冀一体化;DeepSeek概念;阿里巴巴概念;云计算;绿色电力;一带一路;机器人概念;数据中心;超导概念;沪股通;融资融券】	--		0		+9.23%		+11.54%		+1.18		+1.18%		2566915		1922700		--		--		
SH600056	中国医药	-0.09%		10.81		2.38亿		-6974072	--		-1253.86万	-29076720	1.48%		1.34		161.65亿	--		--		医药商业	【医药电商;流感;肝炎概念;仿制药一致性评价;猴痘概念;证金持股;创新药;医疗器械概念;国企改革;央企国企改革;中字头股票;沪股通;融资融券;脑机接口】	--		0		+2.85%		+0.84%		+0.00		+0.00%		1766906		2572780		--		--		
SH600057	厦门象屿	+1.20%		8.46		2.09亿		+2242203	628.31万	125.63万	6283093		1.18%		0.96		177.03亿	--		--		物流		【海峡两岸;玉米;福建自贸区;农业种植;统一大市场;土地流转;冷链物流;乡村振兴;国企改革;一带一路;智能物流;数据要素;DeepSeek概念;沪股通;融资融券】	--		0		-2.31%		+0.71%		+0.00		+0.00%		412148		988974		--		--		
SH600058	五矿发展	--		--		0.00		--		--		0.00		0		0.00%		0.00		123.48亿	--		--		贸易		【央企国企改革;一带一路;国企改革;统一大市场;小金属概念;融资融券;沪股通】	--		--		+25.08%		+32.57%		--		--		--		--		--		--		
SH600059	古越龙山	+1.08%		9.40		1.14亿		+7026486	2716.73万	888.55万	27167297	1.33%		1.53		85.68亿		--		--		饮料制造	【白酒概念;超级品牌;跨境电商;国企改革;回购增持再贷款概念;融资融券;乡村振兴;沪股通】	--		0		+0.86%		+5.15%		+0.00		+0.00%		876990		3430060		--		--		
SH600060	海信视像	+4.32%		25.35		7.65亿		+9788638	--		1814.39万	-1740928	2.31%		2.80		329.59亿	--		--		黑色家电	【智能家居;虚拟数字人;数字经济;DeepSeek概念;数据要素;人工智能;家用电器;元宇宙;多模态AI;AI智能体;虚拟现实;机器人概念;MR(混合现实);智能穿戴;AI眼镜;汽车电子;芯片概念;MCU芯片;沪股通;融资融券;MiniLED;消费电子概念】	--		0		+4.24%		+2.26%		+1.23		+1.23%		4221360		4215705		--		--		
SH600061	国投资本	+1.15%		7.90		4.06亿		+4523296	3479.34万	1897.52万	34793429	0.81%		1.02		505.12亿	--		--		证券		【期货概念;参股券商;信托概念;证金持股;国企改革;雄安新区;央企国企改革;沪股通;融资融券】	--		0		+3.81%		+5.62%		+0.00		+0.00%		1822073		3370930		--		--		
SH600062	华润双鹤	+0.27%		18.70		1.51亿		-15215205	--		-1090.10万	-7032599	0.79%		1.18		193.17亿	--		--		化学制药	【仿制药一致性评价;NMN概念;创新药;合成生物;青蒿素;减肥药;国企改革;央企国企改革;智能医疗;DeepSeek概念;沪股通;融资融券】	--		0		+1.19%		+0.75%		+0.00		+0.00%		764650		2690930		--		--		
SH600063	皖维高新	+1.11%		6.39		3.06亿		+29143940	1924.14万	3357.37万	19241364	2.34%		1.05		132.22亿	--		--		化学纤维	【水泥概念;参股券商;国企改革;光伏概念;2025三季报预增;专精特新;融资融券;沪股通】	--		0		+4.75%		+9.98%		-1.11		-1.11%		2374375		2090169		--		--		
SH600064	南京高科	-0.23%		8.86		2.41亿		-16218203	--		-4190.32万	-44028935	1.58%		1.11		153.31亿	--		--		房地产		【参股券商;参股银行;污水处理;证金持股;创投;国企改革;融资融券;沪股通】	--		0		+6.24%		+6.62%		+0.00		+0.00%		5572200		2228290		--		--		
SH600066	宇通客车	-2.65%		31.61		7.84亿		-35216417	--		-1183.29万	-11788928	1.12%		1.41		699.83亿	--		--		汽车整车	【冷链物流;露营经济;同花顺出海50;DeepSeek概念;车联网(车路协同);燃料电池;无人驾驶;汽车热管理;新能源汽车;沪股通;融资融券】	--		0		-3.10%		-5.44%		-0.37		-0.37%		2096280		4667659		--		--		
SH600067	冠城新材	+0.23%		4.37		2.21亿		-22862560	--		-2260.65万	-35577486	3.65%		1.17		60.82亿		--		--		电网设备	【福建自贸区;海峡两岸;参股银行;创投;氢能源;储能;两轮车;锂电池概念;长安汽车概念;新能源汽车;比亚迪概念;机器人概念;无人机;人形机器人;融资融券;股权转让(并购重组)】	--		0		+0.92%		+3.31%		+0.23		+0.23%		436834		3410785		--		--		
SH600071	凤凰光学	+5.03%		22.78		2.91亿		+5669709	3381.59万	879.87万	33815870	4.60%		2.37		64.14亿		--		--		光学光电子	【安防;物联网;国企改革;华为概念;机器人概念;机器视觉;央企国企改革;新型工业化;华为汽车;汽车电子;消费电子概念;太赫兹;芯片概念;锂电池概念;沪股通;融资融券】	--		0		+8.17%		+8.94%		+0.97		+0.97%		1237350		2829686		--		--		
SH600072	中船科技	+2.16%		12.30		4.56亿		-12659985	9370.45万	2940.80万	93704535	3.44%		1.70		133.25亿	--		--		风电设备	【中船系;国产航母;同花顺中特估100;央企国企改革;PPP概念;国企改革;绿色电力;海工装备;风电;高端装备;工业互联网;储能;沪股通;中字头股票;融资融券】	--		0		+5.58%		+3.36%		+0.42		+0.42%		5132205		3562080		--		--		
SH600073	光明肉业	+0.91%		6.63		9254.81万	+3409429	491.60万	-102.29万	4916013		1.49%		1.46		62.17亿		--		--		食品加工制造	【猪肉;预制菜;国企改革;上海国企改革;沪股通;融资融券】	--		0		+1.22%		+2.95%		+0.61		+0.61%		879791		379899		--		--		
SH600075	新疆天业	+1.31%		5.41		1.90亿		-8720526	--		-99.93万	-604198		2.07%		0.71		92.37亿		--		--		化学原料	【煤化工概念;生态农业;可降解塑料;水泥概念;新疆振兴;绿色电力;碳交易;西部大开发;国企改革;一带一路;回购增持再贷款概念;储能;沪股通;融资融券】	--		0		+13.42%		+16.85%		-0.37		-0.37%		794808		1796661		--		--		
SH600076	康欣新材	+0.81%		3.73		2.24亿		-10765925	--		-1551.16万	-28352796	4.51%		0.84		50.15亿		--		--		包装印刷	【土地流转;乡村振兴;碳交易;碳中和;国企改革;回购增持再贷款概念;融资融券】	--		0		+12.01%		+32.27%		+1.62		+1.62%		2917384		1561378		--		--		
SH600078	澄星股份	-0.19%		10.28		3.42亿		-21373473	--		-3077.09万	-64262060	5.02%		0.73		68.11亿		--		--		农化制品	【磷化工;绿色电力】	--		0		+2.90%		+1.18%		+0.00		+0.00%		2511140		7582528		--		--		
SH600080	金花股份	-0.62%		7.96		6463.71万	-1413991	--		-424.97万	-8475529	2.17%		0.95		29.71亿		--		--		中药		【流感;创新药;医疗器械概念;西部大开发】	--		0		+0.00%		+3.11%		-0.12		-0.12%		622400		629636		--		--		
SH600081	东风科技	+2.11%		12.12		6353.56万	+5438172	1468.56万	649.84万	14685571	0.95%		1.46		67.03亿		--		--		汽车零部件	【长安汽车概念;一体化压铸;华为汽车;无人驾驶;机器人概念;氢能源;新能源汽车;汽车热管理;减速器;传感器;比亚迪概念;EDR概念;汽车电子;智能座舱;沪股通;融资融券】	--		0		+2.54%		+4.21%		+0.17		+0.17%		162893		795072		--		--		
SH600082	海泰发展	-0.70%		4.24		7287.52万	-10147163	--		-647.67万	-6908385	2.71%		0.84		26.90亿		--		--		房地产		【天津自贸区;国企改革;京津冀一体化;创投】	--		--		+4.69%		+7.34%		+0.00		+0.00%		644770		402376		--		--		
SH600084	中信尼雅	+3.58%		5.50		4757.94万	+2467138	1127.99万	183.28万	11279949	0.78%		1.94		61.80亿		--		--		饮料制造	【农业种植;白酒概念;化债概念(AMC概念);乡村振兴;国企改革;新疆振兴;西部大开发;中字头股票;沪股通】	--		--		+2.80%		+0.55%		-0.19		-0.19%		240090		758450		--		--		
SH600085	同仁堂		+0.22%		32.51		3.27亿		-30838399	2698.54万	726.82万	26985419	0.74%		1.57		445.86亿	--		--		中药		【超级品牌;证金持股;医药电商;流感;国企改革;智能医疗;DeepSeek概念;沪股通;融资融券】	--		--		+2.07%		-0.76%		+0.00		+0.00%		862904		4499384		--		--		
SH600088	中视传媒	+8.52%		18.34		4.40亿		+42547705	6430.95万	5055.84万	64309548	6.15%		4.59		72.94亿		--		--		影视院线	【文化传媒概念;旅游概念;虚拟数字人;乡村振兴;国企改革;融资融券;沪股通;中字头股票】	--		--		+14.05%		+13.63%		+1.18		+1.18%		4919670		3342282		--		--		
SH600089	特变电工	-0.24%		24.88		83.03亿		-823649730	--		-8.56亿		-857174920	6.57%		1.40		1257.13亿	--		--		综合		【柔性直流输电;抽水蓄能;特高压;超超临界发电;核电;硅能源;智能电网;虚拟电厂;黄金概念;高压快充;风电;海工装备;光伏概念;储能;煤炭概念;充电桩;雅下水电概念;绿色电力;煤化工概念;数据中心;一带一路;沪股通;融资融券;水利;新疆振兴;西部大开发;新能源汽车;工业互联网;碳纤维;雄安新区;物联网;创投;数字经济】	--		--		+7.57%		+11.37%		+4.17		+4.17%		132368100	69355488	--		--		
SH600094	大名城		+10.07%		5.03		3.49亿		+85502999	--		-5165.98万	-128829249	3.29%		1.41		106.95亿	--		商业航天+低空经济+地产转型	房地产		【物业管理;参股券商;参股保险;旅游概念;数字经济;低空经济;卫星导航;商业航天;芯片概念;算力租赁;数据中心;6G概念;5G;沪股通;融资融券;无人机;东数西算(算力)】	--		--		+16.17%		+26.07%		+3.06		+3.06%		4104294		8688319		09:33:08	09:51:32	
SH600095	湘财股份	+3.40%		11.85		8.15亿		+67634505	1.31亿		8766.34万	130848341	2.44%		1.28		338.81亿	--		--		证券		【参股券商;互联网金融;参股银行;创投;黑龙江自贸区;股权转让(并购重组);融资融券;沪股通】	--		--		+4.77%		+5.43%		-0.61		-0.61%		2502383		8010600		--		--		
SH600096	云天化		-2.66%		33.68		19.79亿		-240290370	--		-2.36亿		-280437873	3.21%		1.04		613.98亿	--		--		农化制品	【磷化工;氟化工概念;化肥;煤化工概念;煤炭概念;锂电池概念;西部大开发;碳中和;国企改革;乡村振兴;融资融券;沪股通】	--		--		+6.75%		+9.78%		-0.14		-0.14%		12102865	12222472	--		--		
SH600097	开创国际	+0.42%		11.90		1.39亿		-4088489	--		-53.42万	-2358543	4.88%		1.21		28.67亿		--		--		养殖业		【航运概念;国企改革;上海国企改革;上海自贸区;人民币贬值受益】	--		--		+1.88%		+3.21%		+0.00		+0.00%		1023840		1736210		--		--		
SH600098	广州发展	-0.30%		6.69		1.84亿		+2149456	--		-1579.42万	-26633846	0.79%		1.24		234.54亿	--		--		电力		【超超临界发电;天然气;绿色电力;抽水蓄能;国企改革;可燃冰;风电;广东自贸区;氢能源;回购增持再贷款概念;充电桩;储能;粤港澳大湾区;融资融券;沪股通】	--		--		-1.04%		+0.00%		-0.89		-0.89%		3351600		2308719		--		--		
SH600099	林海股份	+1.53%		10.61		3484.62万	-677421		583.07万	122.47万	5830733		1.51%		0.97		23.25亿		--		--		汽车服务及其他	【乡村振兴;国企改革;农机;央企国企改革;专精特新;两轮车;无人驾驶】	--		--		+1.43%		+4.64%		+0.48		+0.48%		299250		180370		--		--		
SH600100	同方股份	+5.47%		9.83		13.21亿		+11568114	2.56亿		7826.68万	255839372	4.09%		1.56		329.33亿	--		--		计算机设备	【网络安全;华为昇腾;信创;AI语料;算力租赁;国产操作系统;智慧城市;区块链;安防;ChatGPT概念;鸿蒙概念;AI智能体;国资云;在线教育;数据要素;AIGC概念;核污染防治;数字经济;东数西算(算力);物联网;DeepSeek概念;人工智能;华为概念;工业互联网;食品安全;机器视觉;京津冀一体化;机器人概念;土壤修复;创投;互联网保险;锂电池概念;数据中心;核电;央企国企改革;消费电子概念;储能;国企改革;雄安新区;可控核聚变;参股券商;液冷服务器;沪股通;融资融券;股权转让(并购重组)】	--		--		+12.99%		+14.04%		+0.75		+0.75%		4251792		12073206	--		--		
SH600101	明星电力	+0.84%		9.62		1.83亿		-5009795	1251.55万	-22.22万	12515502	3.48%		1.38		52.70亿		--		--		电力		【绿色电力;钒电池;智能电网;国企改革;西部大开发;央企国企改革;充电桩;小金属概念;沪股通;融资融券】	--		--		+3.00%		+5.14%		+0.10		+0.10%		863320		1770080		--		--		
SH600103	青山纸业	+1.65%		4.31		9.70亿		-3356851	--		866.10万	-29643718	10.20%		1.44		95.35亿		--		--		造纸		【海峡两岸;共封装光学(CPO);创投;数据中心;5G;碳中和;乡村振兴;一带一路;国企改革;沪股通】	--		--		-4.43%		+7.48%		-0.47		-0.47%		5275422		9426832		--		--		
SH600104	上汽集团	+0.13%		15.42		9.49亿		-35720442	--		-5477.92万	-78877742	0.54%		1.05		1772.57亿	--		--		汽车整车	【超级品牌;网约车;国企改革;证金持股;参股银行;燃料电池;一带一路;上海国企改革;同花顺漂亮100;足球概念;无人驾驶;换电概念;车联网(车路协同);DeepSeek概念;华为汽车;新能源汽车;独角兽概念;动力电池回收;华为概念;固态电池;宁德时代概念;沪股通;融资融券】	--		--		-0.13%		-0.39%		+0.00		+0.00%		5892040		11517198	--		--		
SH600105	永鼎股份	+4.40%		31.53		89.06亿		-1558194800	--		-7.42亿		-303617100	19.89%		1.17		460.97亿	--		--		通信设备	【超导概念;可控核聚变;光纤概念;共封装光学(CPO);商业航天;核电;海工装备;芯片概念;3D打印;5G;军工;数据中心;风电;比亚迪概念;新能源汽车;东数西算(算力);低空经济;专精特新;华为概念;华为汽车;数据安全;工业互联网;网络安全;一带一路;长三角一体化;沪股通;参股银行;融资融券】	--		--		+34.00%		+49.86%		+0.03		+0.03%		77726705	76318365	--		--		
