代码		    名称		涨幅		现价		昨日成交额		当日成交额		主力净额		资金流向		主力资金流向[20260113]		净流入		换手		量比		流通市值		连续涨停天数		涨停原因类别		所属行业		所属概念		涨停开板次数		几天几板		10日涨幅		20日涨幅		竞价涨幅%		开盘涨幅		早盘竞价金额		尾盘竞价金额		首次涨停时间		最终涨停时间
SH600067	冠城新材	+0.00%		4.37		2.21亿		2.94亿		+19939598	--		529.27万	-7392827	4.82%		1.59		60.82亿		--		--		电网设备	【福建自贸区;海峡两岸;参股银行;创投;氢能源;储能;两轮车;锂电池概念;长安汽车概念;新能源汽车;比亚迪概念;机器人概念;无人机;人形机器人;融资融券;股权转让(并购重组)】	--		0		+2.10%		+2.34%		+0.00		+0.00%		537073		2202480		--		--
SH600071	凤凰光学	-4.04%		21.86		2.91亿		2.00亿		-24375723	10.80万		-1825.37万	-39297093	3.21%		1.31		61.55亿		--		--		光学光电子	【安防;物联网;国企改革;华为概念;机器人概念;机器视觉;央企国企改革;新型工业化;华为汽车;汽车电子;消费电子概念;太赫兹;芯片概念;锂电池概念;沪股通;融资融券】	--		0		+4.94%		+4.64%		-1.19		-1.19%		3644369		1503968		--		--
SH600072	中船科技	-2.11%		12.04		4.56亿		3.66亿		-5941613	9370.45万	-2494.53万	-99804300	2.80%		1.14		130.43亿	--		--		风电设备	【中船系;国产航母;同花顺中特估100;央企国企改革;PPP概念;国企改革;绿色电力;海工装备;风电;高端装备;工业互联网;储能;沪股通;中字头股票;融资融券】	--		0		+3.26%		+2.64%		+0.00		+0.00%		3896640		7420252		--		--
SH600073	光明肉业	-1.06%		6.56		9254.81万	7315.17万	-7801587	13.53万		-1314.83万	-16987839	1.18%		1.08		61.52亿		--		--		食品加工制造	【猪肉;预制菜;国企改革;上海国企改革;沪股通;融资融券】	--		0		+0.77%		+2.98%		+0.00		+0.00%		360672		447392		--		--
SH600075	新疆天业	-2.22%		5.29		1.90亿		1.59亿		-18810784	--		-1649.94万	-29245135	1.75%		0.56		90.32亿		--		--		化学原料	【煤化工概念;生态农业;可降解塑料;水泥概念;新疆振兴;绿色电力;碳交易;西部大开发;国企改革;一带一路;回购增持再贷款概念;储能;沪股通;融资融券】	--		0		+10.90%		+16.01%		-0.92		-0.92%		745576		816776		--		--
SH600076	康欣新材	-1.07%		3.69		2.24亿		1.57亿		-2343419	25.27万		-448.96万	-10688224	3.12%		0.73		49.61亿		--		--		包装印刷	【土地流转;乡村振兴;碳交易;碳中和;国企改革;回购增持再贷款概念;融资融券】	--		0		+8.85%		+29.93%		+0.54		+0.54%		417750		889659		--		--
SH600078	澄星股份	-1.56%		10.12		3.42亿		5.06亿		-17715036	--		-3335.61万	-48742208	7.42%		1.10		67.05亿		--		--		农化制品	【磷化工;绿色电力】	--		0		-1.65%		+3.48%		+0.00		+0.00%		1255188		3000580		--		--
SH600080	金花股份	+0.50%		8.00		6463.71万	8204.94万	-2317495	707.27万	173.64万	7211069		2.74%		1.15		29.86亿		--		--		中药		【流感;创新药;医疗器械概念;西部大开发】	--		0		+3.09%		+0.88%		-0.13		-0.13%		248835		508800		--		--
SH600081	东风科技	+2.89%		12.47		6353.56万	1.89亿		+26779790	25.21万		1971.72万	304307		2.73%		3.74		68.96亿		--		--		汽车零部件	【长安汽车概念;一体化压铸;华为汽车;无人驾驶;机器人概念;氢能源;新能源汽车;汽车热管理;减速器;传感器;比亚迪概念;EDR概念;汽车电子;智能座舱;沪股通;融资融券】	--		0		+5.86%		+7.97%		+0.25		+0.25%		128790		2447861		--		--
SH600082	海泰发展	--		--		7287.52万	8229.40万	--		--		186.93万	0		--		--		26.96亿		--		--		房地产		【天津自贸区;国企改革;京津冀一体化;创投】	--		--		--		--		--		--		--		--		--		--
SH600084	中信尼雅	--		--		4757.94万	7838.34万	--		1198.03万	366.61万	0		--		--		64.05亿		--		--		饮料制造	【农业种植;白酒概念;化债概念(AMC概念);乡村振兴;国企改革;新疆振兴;西部大开发;中字头股票;沪股通】	--		--		--		--		--		--		--		--		--		--
SH600085	同仁堂		--		--		3.27亿		3.85亿		--		2698.54万	-2737.07万	0		--		--		444.49亿	--		--		中药		【超级品牌;证金持股;医药电商;流感;国企改革;智能医疗;DeepSeek概念;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600088	中视传媒	--		--		4.40亿		3.89亿		--		2956.35万	1195.95万	0		--		--		71.39亿		--		--		影视院线	【文化传媒概念;旅游概念;虚拟数字人;乡村振兴;国企改革;融资融券;沪股通;中字头股票】	--		--		--		--		--		--		--		--		--		--
SH600089	特变电工	--		--		83.03亿		119.13亿	--		--		-9.02亿		0		--		--		1382.95亿	--		变压器+特高压+沙特订单	综合		【柔性直流输电;抽水蓄能;特高压;超超临界发电;核电;硅能源;智能电网;虚拟电厂;黄金概念;高压快充;风电;海工装备;光伏概念;储能;煤炭概念;充电桩;雅下水电概念;绿色电力;煤化工概念;数据中心;一带一路;沪股通;融资融券;水利;新疆振兴;西部大开发;新能源汽车;工业互联网;碳纤维;雄安新区;物联网;创投;数字经济】	--		--		--		--		--		--		--		--		13:48:42	14:43:45
SH600094	大名城		--		--		3.49亿		7.84亿		--		--		-3733.71万	0		--		--		111.63亿	--		--		房地产		【物业管理;参股券商;参股保险;旅游概念;数字经济;低空经济;卫星导航;商业航天;芯片概念;算力租赁;数据中心;6G概念;5G;沪股通;融资融券;无人机;东数西算(算力)】	--		--		--		--		--		--		--		--		--		--
SH600095	湘财股份	--		--		8.15亿		5.99亿		--		1.31亿		-6573.82万	0		--		--		330.81亿	--		--		证券		【参股券商;互联网金融;参股银行;创投;黑龙江自贸区;股权转让(并购重组);融资融券;沪股通】	--		--		--		--		--		--		--		--		--		--
SH600096	云天化		--		--		19.79亿		16.72亿		--		1.42亿		6475.59万	0		--		--		624.74亿	--		--		农化制品	【磷化工;氟化工概念;化肥;煤化工概念;煤炭概念;锂电池概念;西部大开发;碳中和;国企改革;乡村振兴;融资融券;沪股通】	--		--		--		--		--		--		--		--		--		--
SH600097	开创国际	--		--		1.39亿		1.17亿		--		--		-909.71万	0		--		--		28.38亿		--		--		养殖业		【航运概念;国企改革;上海国企改革;上海自贸区;人民币贬值受益】	--		--		--		--		--		--		--		--		--		--
SH600098	广州发展	--		--		1.84亿		1.70亿		--		--		-1061.15万	0		--		--		234.19亿	--		--		电力		【超超临界发电;天然气;绿色电力;抽水蓄能;国企改革;可燃冰;风电;广东自贸区;氢能源;回购增持再贷款概念;充电桩;储能;粤港澳大湾区;融资融券;沪股通】	--		--		--		--		--		--		--		--		--		--
