代码		    名称		涨幅		现价		昨日成交额		当日成交额		主力净额		资金流向		主力资金流向[20260113]		净流入		换手		量比		流通市值		连续涨停天数		涨停原因类别		所属行业		所属概念		涨停开板次数		几天几板		10日涨幅		20日涨幅		竞价涨幅%		开盘涨幅		早盘竞价金额		尾盘竞价金额		首次涨停时间		最终涨停时间
SZ300115	长盈精密	-4.55%		43.38		58.39亿		54.09亿		-507101860	3.15亿		-2.86亿		-153073830	8.93%		1.05		588.61亿	--		--		消费电子	【减速器;人形机器人;同花顺果指数;PEEK材料;特斯拉概念;新型工业化;AI PC;华为汽车;苹果概念;MR(混合现实);AI手机;铜缆高速连接;无线耳机;AI眼镜;小米概念;智能穿戴;传感器;机器人概念;无人机;宁德时代概念;消费电子概念;5G;卫星导航;新能源汽车;华为概念;虚拟现实;东数西算(算力);3D打印;芯片概念;燃料电池;锂电池概念;粤港澳大湾区;充电桩;储能;海峡两岸;氢能源;深股通;融资融券】	--		--		+7.22%		+12.06%		-0.95		-0.95%		32752050	90438017	--		--
SZ300118	东方日升	-7.33%		18.07		51.90亿		37.35亿		-83655680	1634.84万	-1.90亿		-265832350	22.45%		0.94		167.48亿	--		--		光伏设备	【硅能源;钙钛矿电池;TOPCON电池;HJT电池;商业航天;光伏建筑一体化;光伏概念;绿色电力;储能;乡村振兴;共同富裕示范区;华为概念;深股通;融资融券】	--		--		+15.10%		+62.21%		-5.79		-5.79%		70597747	36617048	--		--
SZ300119	瑞普生物	+0.70%		20.02		1.31亿		2.09亿		-8146549	--		-1726.76万	-20838232	3.09%		1.97		67.06亿		--		--		养殖业		【动物疫苗;禽流感;生物疫苗;合成生物;宠物经济;消毒剂;天津自贸区;回购增持再贷款概念;京津冀一体化;深股通】	--		--		+3.36%		+3.95%		+0.25		+0.25%		394614		1363362		--		--
SZ300120	经纬辉开	-3.09%		8.77		2.53亿		1.99亿		-22882491	5775.36万	-2936.49万	-58483899	4.27%		1.22		46.26亿		--		--		光学光电子	【智慧灯杆;安防;柔性直流输电;海工装备;柔性屏(折叠屏);风电;特高压;PET铜箔;OLED;芯片概念;人民币贬值受益;消费电子概念;汽车电子;深股通】	--		--		+4.28%		-1.24%		+0.00		+0.00%		530330		2594166		--		--
SZ300121	阳谷华泰	-3.12%		13.05		2.10亿		2.08亿		-28310853	1083.52万	-3810.56万	-73265140	3.66%		0.82		56.03亿		--		--		橡胶制品	【光刻胶;数字经济;回购增持再贷款概念;芯片概念;硅能源;有机硅概念;先进封装;第三代半导体;深股通;股权转让(并购重组)】	--		--		-1.29%		-7.25%		+0.07		+0.07%		518980		2017530		--		--
SZ300122	智飞生物	+0.55%		20.19		5.70亿		10.75亿		+50243827	4102.29万	1347.23万	-12540362	3.74%		2.56		285.55亿	--		--		生物制品	【生物疫苗;肝炎概念;重组蛋白;流感;猴痘概念;合成生物;创新药;西部大开发;减肥药;同花顺漂亮100;深股通;融资融券】	--		--		+4.94%		+4.23%		-1.20		-1.20%		14671680	8788707		--		--
SZ300123	亚光科技	-8.73%		9.09		23.86亿		20.42亿		-182235700	1.79亿		-2.35亿		-315314000	21.57%		1.13		90.94亿		--		--		军工电子	【太赫兹;军工信息化;军民融合;商业航天;卫星导航;军工;海工装备;6G概念;量子科技;横琴新区;高端装备;5G;第三代半导体;芯片概念;深股通;融资融券】	--		--		+11.40%		+15.36%		+3.21		+3.21%		20669996	18412704	--		--
SZ300124	汇川技术	-3.12%		78.33		42.02亿		34.76亿		-92308280	3.89亿		-3.88亿		-546080380	1.83%		1.18		1878.75亿	--		--		自动化设备	【人形机器人;工业母机;新型工业化;机器视觉;小米汽车;小米概念;机器人概念;液冷服务器;一体化压铸;同花顺漂亮100;新能源汽车;工业互联网;农机;人工智能;DeepSeek概念;深股通;融资融券;储能;数字经济;换电概念;碳中和】	--		--		+6.86%		+5.99%		-0.04		-0.04%		25054200	42345355	--		--
SZ300125	*ST聆达		-3.62%		7.46		8962.48万	6651.26万	-3275342	577.45万	-510.04万	-17809526	2.44%		1.09		26.92亿		--		--		光伏设备	【HJT电池;TOPCON电池;烟草;新型烟草(电子烟);光伏概念;工业大麻;ST板块;绿色电力】	--		--		-5.09%		-6.75%		+0.13		+0.13%		272800		508772		--		--
SZ300126	锐奇股份	-1.90%		8.80		8361.99万	8282.44万	+3071126	1155.53万	-39.16万	-11909313	4.40%		1.22		18.54亿		--		--		通用设备	【人民币贬值受益】	--		--		+5.52%		+2.80%		+0.45		+0.45%		145962		475200		--		--
SZ300127	银河磁体	-4.58%		32.72		6.88亿		4.41亿		-35707934	--		-3985.48万	-72130174	5.75%		0.78		75.52亿		--		--		金属新材料	【稀土永磁;军工;西部大开发;华为概念;新能源汽车;特斯拉概念;深股通】	--		--		+5.65%		+5.48%		-0.55		-0.55%		2571140		4024560		--		--
SZ300128	锦富技术	+2.34%		7.87		5.24亿		7.50亿		+77895298	2721.42万	4516.50万	27214184	7.28%		1.68		102.13亿	--		--		电池		【英伟达概念;富士康概念;海峡两岸;苹果概念;液冷服务器;MR(混合现实);消费电子概念;汽车电子;小米概念;石墨烯;宁德时代概念;人形机器人;小米汽车;虚拟现实;汽车热管理;华为概念;锂电池概念;新能源汽车;储能;机器人概念;BC电池;新型工业化;光伏概念;长三角一体化;人工智能;深股通;融资融券;国企改革】	--		--		+3.28%		+1.94%		-0.13		-0.13%		1493760		7510735		--		--
SZ300129	泰胜风能	-1.47%		16.75		35.00亿		33.53亿		-64471420	4820.25万	-2552.84万	48202530	28.41%		1.07		120.38亿	--		--		风电设备	【商业航天;海工装备;风电;光伏概念;专精特新;绿色电力;国企改革;新疆振兴;深股通;融资融券】	--		--		+63.73%		+85.70%		+0.06		+0.06%		61505864	17267575	--		--
SZ300130	新国都		-2.04%		28.80		13.49亿		11.60亿		+10394910	1.41亿		-9476.46万	-226391509	9.27%		1.23		125.04亿	--		--		计算机设备	【数字货币;移动支付;电子身份证;跨境支付(CIPS);蚂蚁集团概念;智慧政务;人脸识别;鸿蒙概念;AI智能体;区块链;多模态AI;人工智能;腾讯概念;DeepSeek概念;数字经济;AIGC概念;AI语料;虚拟数字人;物联网;安防;跨境电商;汽车电子;参股保险;储能;深股通;融资融券】	--		--		+11.07%		+18.42%		+0.34		+0.34%		4619700		9958810		--		--
SZ300131	英唐智控	-1.77%		15.51		17.16亿		17.88亿		-55698972	--		-1.42亿		-196893540	10.75%		0.90		161.66亿	--		--		其他电子	【共封装光学(CPO);存储芯片;AI眼镜;汽车芯片;第三代半导体;汽车电子;芯片概念;智能座舱;小米概念;OLED;数据中心;传感器;ERP概念;智能家居;物联网;阿里巴巴概念;腾讯概念;无人驾驶;车联网(车路协同);长安汽车概念;机器人概念;粤港澳大湾区;新能源汽车;智慧城市;深股通;融资融券】	--		--		+3.33%		+8.84%		+0.00		+0.00%		9849802		8355237		--		--
SZ300132	青松股份	-0.90%		8.79		2.30亿		2.49亿		+4712685	1029.99万	-875.52万	-18863122	5.52%		1.18		44.66亿		--		--		美容护理	【三胎概念;海峡两岸;消毒剂;合成生物】	--		--		+7.99%		+15.81%		+1.13		+1.13%		2050542		865815		--		--
SZ300133	华策影视	-6.95%		9.64		27.85亿		23.59亿		-263441770	3.36亿		-1.68亿		-133396980	14.83%		1.32		155.42亿	--		--		影视院线	【短剧游戏;Sora概念(文生视频);手机游戏;AI语料;文化传媒概念;智谱AI;NFT概念;虚拟数字人;抖音概念(字节概念);AIGC概念;IP经济(谷子经济);知识产权保护;腾讯概念;阿里巴巴概念;多模态AI;元宇宙;百度概念;AI智能体;算力租赁;网红经济;数据要素;冰雪产业;旅游概念;东数西算(算力);人工智能;DeepSeek概念;华为概念;融资融券;深股通;AI应用】	--		--		+16.71%		+20.20%		-1.25		-1.25%		17933190	20184232	--		--
SZ300134	大富科技	-3.72%		12.94		3.58亿		3.04亿		-18608092	2870.06万	-1928.78万	-35567781	3.28%		1.19		92.19亿		--		--		通信设备	【华为手机;云游戏;智能穿戴;柔性屏(折叠屏);消费电子概念;新型烟草(电子烟);苹果概念;5G;虚拟现实;元宇宙;华为概念;空间计算;粤港澳大湾区;锂电池概念;6G概念;小米概念;人工智能;石墨烯;芯片概念;AIGC概念;在线教育;新型工业化;机器人概念;工业母机;职业教育;创投;文化传媒概念;3D打印;新能源汽车;军工;特斯拉概念;国企改革;氢能源;深股通;股权转让(并购重组);融资融券】	--		--		+0.62%		+11.36%		-0.60		-0.60%		916496		2725164		--		--
SZ300135	宝利国际	-1.45%		4.09		1.23亿		1.19亿		-7119105	384.06万	-328.68万	-3355712	3.14%		1.09		37.69亿		--		--		石油加工贸易	【中俄贸易概念;新疆振兴;一带一路;国企改革;高铁;俄乌冲突概念;低空经济;雅下水电概念;芯片概念;股权转让(并购重组)】	--		--		+3.02%		+5.41%		+0.00		+0.00%		79265		1022091		--		--
SZ300136	信维通信	-10.84%		74.10		172.31亿	161.17亿	-1651893600	4.10亿		-4.72亿		410214590	26.18%		1.13		611.00亿	--		--		消费电子	【商业航天;卫星导航;6G概念;同花顺果指数;毫米波雷达;无人机;WiFi 6;无线充电;低空经济;智能音箱;特斯拉概念;苹果概念;富士康概念;柔性屏(折叠屏);5G;车联网(车路协同);无线耳机;汽车电子;AI眼镜;智能穿戴;机器人概念;华为概念;物联网;消费电子概念;虚拟现实;一带一路;粤港澳大湾区;人民币贬值受益;回购增持再贷款概念;深股通;海峡两岸;融资融券】	--		--		+44.44%		+106.12%	-6.12		-6.12%		403705440	344585010	--		--
SZ300137	先河环保	-3.81%		10.85		2.76亿		2.26亿		-4741423	1387.55万	-3530.27万	-53185018	3.83%		0.94		57.51亿		--		--		环保设备	【PM2.5;京津冀一体化;雄安新区;核污染防治;乡村振兴;污水处理;机器人概念;区块链;水利;碳中和;碳交易;摘帽】	--		--		+6.37%		+17.17%		+0.18		+0.18%		209050		2030035		--		--
SZ300138	晨光生物	+0.15%		13.04		1.04亿		1.08亿		-8373058	1092.46万	371.06万	10924551	2.07%		1.28		51.94亿		--		--		农产品加工	【农业种植;代糖概念;工业大麻;NMN概念;乡村振兴;一带一路;2025三季报预增;深股通】	--		--		+2.52%		+2.84%		-0.46		-0.46%		325296		419888		--		--
SZ300139	晓程科技	+8.52%		38.47		14.29亿		21.52亿		+95723390	1.45亿		1.27亿		144932410	24.24%		1.56		89.89亿		--		--		贵金属		【黄金概念;民爆概念;芯片概念;智能电网;绿色电力;一带一路;人民币贬值受益;深股通;融资融券】	--		--		+10.55%		+17.43%		-0.14		-0.14%		11558100	26513524	--		--
SZ300140	节能环境	-0.98%		7.07		2.07亿		1.83亿		-2469631	--		-458.44万	-15099462	2.54%		0.88		72.12亿		--		--		环境治理	【固废处理;土壤修复;医疗废物处理;特高压;污水处理;央企国企改革;国企改革;雄安新区;西部大开发;垃圾分类;智能电网;乡村振兴;高端装备;空气能热泵;深股通】	--		--		+2.61%		+6.64%		+0.14		+0.14%		523380		2810325		--		--
SZ300141	和顺电气	+6.61%		19.02		9.24亿		10.46亿		-68597829	812.53万	-2108.20万	-188759832	22.84%		1.15		48.45亿		--		--		电网设备	【智能电网;换电概念;高压快充;充电桩;光伏概念;商业航天;燃料电池;储能;氢能源;机器人概念】	--		--		+48.02%		+56.29%		-4.15		-4.15%		7457310		9354036		--		--
SZ300142	沃森生物	+0.16%		12.31		7.27亿		8.69亿		-13851183	1525.73万	-84.75万	15257308	4.49%		1.63		191.54亿	--		--		生物制品	【生物疫苗;流感;创新药;合成生物;西部大开发;深股通;融资融券】	--		--		+8.94%		+8.84%		+0.49		+0.49%		5925530		5433634		--		--
SZ300143	盈康生命	-0.60%		13.20		7.84亿		9.99亿		-27439796	5312.93万	-2014.54万	-19609859	11.34%		1.76		84.66亿		--		--		医疗服务	【医美概念;医疗器械概念;智能医疗;养老概念;民营医院;高压氧舱;脑机接口;创投;人工智能;DeepSeek概念;物联网;机器人概念;融资融券;深股通】	--		--		+31.08%		+33.87%		+2.11		+2.11%		7155612		4056360		--		--
SZ300144	宋城演艺	-1.53%		8.35		4.89亿		4.21亿		-53234697	1.08亿		-7344.05万	-106142860	2.12%		1.32		196.96亿	--		--		旅游及酒店	【旅游概念;IP经济(谷子经济);电子竞技;共同富裕示范区;文化传媒概念;手机游戏;元宇宙;抖音概念(字节概念);虚拟现实;深股通;融资融券】	--		--		+0.85%		+4.77%		-0.35		-0.35%		1068080		4295240		--		--
SZ300145	南方泵业	-1.68%		4.67		3.03亿		2.80亿		-15840137	--		-1477.13万	-29238022	3.10%		1.09		89.28亿		--		--		通用设备	【液冷服务器;空气能热泵;比亚迪概念;中俄贸易概念;储能;数据中心;专精特新;核电;军工;垃圾分类;水利;创投;风电;污水处理;新型城镇化;腾讯概念;PPP概念;智慧城市;土壤修复;固废处理;净水概念;国企改革;金属回收;中芯国际概念;深股通;融资融券】	--		--		-3.51%		+11.72%		+0.42		+0.42%		1022211		1402401		--		--
SZ300146	汤臣倍健	-0.32%		12.44		2.87亿		3.00亿		-10275290	2557.18万	-1257.94万	-19583083	2.14%		1.37		139.43亿	--		--		食品加工制造	【三胎概念;跨境电商;维生素;医药电商;基因测序;智能医疗;回购增持再贷款概念;粤港澳大湾区;深股通;融资融券】	--		--		+1.63%		+6.87%		+0.40		+0.40%		1246735		884484		--		--
SZ300147	ST香雪		+5.35%		9.46		1.29亿		2.95亿		+35634446	3129.54万	3045.52万	31295430	4.76%		2.54		62.19亿		--		--		中药		【创新药;细胞免疫治疗;禽流感;辅助生殖;医药电商;流感;ST板块;医疗器械概念;横琴新区;数字经济;粤港澳大湾区】	--		--		-0.42%		+0.42%		+0.00		+0.00%		560352		1904298		--		--
SZ300148	天舟文化	+2.38%		5.16		5.40亿		8.86亿		+21617963	1.02亿		6967.80万	102387799	20.96%		3.42		42.01亿		--		--		文化传媒	【文化传媒概念;手机游戏;网络游戏;虚拟数字人;职业教育;区块链;云游戏;人工智能;虚拟现实;创投;AI应用】	--		--		+18.89%		+17.27%		+2.38		+2.38%		5793132		5760624		--		--
SZ300149	睿智医药	+0.63%		12.69		10.15亿		11.70亿		+9286655	4964.66万	5672.72万	49668748	18.63%		2.62		60.22亿		--		--		医疗服务	【CRO概念;细胞免疫治疗;创新药;重组蛋白;智能医疗;人民币贬值受益;DeepSeek概念;深股通;股权转让(并购重组);融资融券】	--		--		+31.10%		+29.23%		+10.47		+10.47%		21060767	5140719		--		--
SZ300150	世纪瑞尔	-1.72%		5.70		1.52亿		1.26亿		-8413998	2567.59万	-987.51万	-23511949	4.77%		1.44		26.23亿		--		--		IT服务		【高铁;京津冀一体化;水利;安防;AIGC概念;专精特新】	--		--		+6.94%		+8.78%		+0.52		+0.52%		622644		799140		--		--
SZ300151	昌红科技	-4.82%		15.59		3.30亿		3.03亿		-25964888	3285.33万	-1928.47万	-41988685	5.19%		0.82		57.45亿		--		--		专用设备	【创投;人民币贬值受益;基因测序;医疗器械概念;芯片概念;辅助生殖;医药电商;融资融券;深股通】	--		--		+6.56%		+18.65%		+0.00		+0.00%		1436526		2099973		--		--
SZ300152	ST新动力	-0.44%		2.26		6947.41万	6075.25万	-3719913	1494.35万	-380.09万	-7320494	3.78%		1.28		16.11亿		--		--		环境治理	【ST板块;PM2.5;PPP概念;土壤修复;生物质能发电;净水概念;雄安新区;污水处理;碳中和;创投;燃料电池;氢能源】	--		--		+0.00%		+10.24%		+0.44		+0.44%		414755		447706		--		--
SZ300153	科泰电源	-2.89%		33.93		15.47亿		12.07亿		-46490550	--		-4872.27万	-80318337	10.88%		0.84		108.01亿	--		--		其他电源设备	【数据中心;腾讯概念;华为概念;阿里巴巴概念;百度概念;储能;专精特新;锂电池概念;核电;互联网金融;长三角一体化;一带一路;融资融券;深股通】	--		--		+13.40%		+9.77%		-0.09		-0.09%		16351844	11245284	--		--
SZ300154	瑞凌股份	-2.37%		9.48		7497.20万	5377.94万	-2744980	--		-70.62万	-3555056	1.79%		0.98		29.87亿		--		--		通用设备	【专精特新;创投;机器人概念;比亚迪概念;回购增持再贷款概念;芯片概念】	--		--		-1.35%		+6.04%		-0.10		-0.10%		191090		437976		--		--
SZ300155	安居宝		+0.28%		7.06		1.82亿		1.79亿		+13836128	1724.48万	1910.59万	17244786	7.58%		1.07		23.35亿		--		--		计算机设备	【人脸识别;物业管理;安防;智慧城市;食品安全;区块链;语音技术;DeepSeek概念;智能家居】	--		--		+14.80%		+17.47%		+0.00		+0.00%		680064		3947246		--		--
SZ300157	新锦动力	+0.40%		4.97		2.60亿		3.74亿		+7539116	2626.38万	-314.28万	-7910749	10.52%		1.85		35.18亿		--		--		通用设备	【可燃冰;页岩气;俄乌冲突概念;天然气;雄安新区;一带一路;超超临界发电;氢能源;创投;高端装备;军工;储能;人工智能;无人机;机器人概念;数据中心;东数西算(算力);融资融券】	--		--		+8.75%		+9.47%		+0.00		+0.00%		641520		2489473		--		--
SZ300158	振东制药	+2.55%		6.43		2.45亿		4.91亿		+26416422	4937.29万	1949.52万	49393629	7.66%		2.22		63.77亿		--		--		中药		【仿制药一致性评价;流感;创新药;肝炎概念;维生素;医药电商;毛发医疗;医美概念;土地流转;农业种植;乡村振兴;融资融券;深股通】	--		--		+8.25%		+3.54%		+0.00		+0.00%		826386		4190431		--		--
SZ300159	*ST新研		-2.37%		3.29		3.26亿		1.84亿		-7719742	4029.33万	-1962.79万	-40791223	3.03%		1.14		60.27亿		--		--		专用设备	【商业航天;卫星导航;大飞机;海工装备;可控核聚变;军民融合;军工;无人机;核电;航空发动机;ST板块;低空经济;股权转让(并购重组);新疆振兴;成飞概念;国企改革;乡村振兴;西部大开发;农机;专精特新】	--		--		+0.00%		+0.61%		+0.59		+0.59%		1756359		1906555		--		--
SZ300160	秀强股份	+0.00%		5.78		1.16亿		9557.93万	+3858178	11.96万		446.90万	119601		2.17%		1.12		44.05亿		--		--		白色家电	【光伏建筑一体化;国企改革;家用电器;充电桩;物联网;特斯拉概念】	--		--		+4.52%		+6.06%		-0.17		-0.17%		218106		1461762		--		--
SZ300161	华中数控	-2.77%		31.55		3.51亿		2.59亿		-18741885	2016.00万	-1645.46万	-25986675	4.20%		0.76		61.52亿		--		--		通用设备	【工业母机;新型工业化;高端装备;军工;数字孪生;工业互联网;人工智能;智能物流;机器人概念;职业教育;航空发动机;阿里巴巴概念;新能源汽车;锂电池概念;数据中心;深股通】	--		--		+10.78%		+11.84%		+0.15		+0.15%		1378000		2132749		--		--
SZ300162	雷曼光电	-3.14%		8.33		2.19亿		1.51亿		-3787646	3097.53万	52.23万		-2168084	5.25%		1.01		28.50亿		--		--		光学光电子	【安防;足球概念;人工智能;粤港澳大湾区;MicroLED概念;元宇宙;DeepSeek概念;在线教育;柔性屏(折叠屏);专精特新;MiniLED;商业航天;体育产业;人民币贬值受益;消费电子概念;海峡两岸;先进封装】	--		--		+4.13%		+8.89%		-0.58		-0.58%		1250010		1108723		--		--
SZ300163	先锋新材	+7.14%		4.80		1.96亿		4.92亿		+33540431	8353.27万	5141.87万	83532677	22.87%		1.61		21.78亿		--		--		家居用品	【建筑节能;人民币贬值受益;专精特新;摘帽】	--		--		+17.07%		+17.36%		+0.00		+0.00%		868224		6567840		--		--
SZ300164	通源石油	+11.66%		7.18		9.28亿		16.70亿		+90104640	1.38亿		1.08亿		138179780	40.75%		1.53		41.87亿		--		--		油气开采及服务	【页岩气;俄乌冲突概念;天然气;新疆振兴;碳中和;西部大开发;一带一路;人民币贬值受益】	--		--		+29.60%		+30.78%		+2.64		+2.64%		11724900	13395008	--		--
SZ300165	ST天瑞		+1.43%		4.95		3660.08万	5218.02万	+4550739	304.71万	133.85万	3047072		2.52%		1.63		20.82亿		--		--		通用设备	【ST板块;医疗器械概念;工业大麻;食品安全;华为概念;土壤修复;污水处理;专精特新;锂电池概念】	--		--		+5.54%		+9.76%		+0.41		+0.41%		141610		820215		--		--
SZ300166	东方国信	-3.69%		11.47		10.32亿		9.30亿		-90871370	1.67亿		-2179.32万	-30201634	8.79%		1.47		103.89亿	--		--		IT服务		【华为欧拉;MLOps概念;华为昇腾;华为鲲鹏;Web3.0;智慧政务;数据安全;信创;ChatGPT概念;云计算;多模态AI;数字水印;AI语料;电子身份证;AI智能体;数字乡村;鸿蒙概念;区块链;AIGC概念;算力租赁;数据要素;东数西算(算力);元宇宙;虚拟数字人;时空大数据;智慧城市;互联网金融;数字经济;数字孪生;DeepSeek概念;虚拟现实;互联网保险;华为概念;人工智能;职业教育;物联网;机器视觉;数据中心;京津冀一体化;工业互联网;新型工业化;5G;人形机器人;碳中和;乡村振兴;海工装备;虚拟电厂;AI手机;深股通;融资融券】	--		--		+15.51%		+16.68%		+0.76		+0.76%		6884400		13169854	--		--
SZ300167	ST迪威迅	-4.52%		5.07		7607.98万	6909.56万	-17136493	--		-2224.43万	-26884093	3.75%		1.39		18.20亿		--		--		IT服务		【股权转让(并购重组);虚拟数字人;算力租赁;在线教育;智慧政务;AI智能体;横琴新区;东数西算(算力);信创;安防;智慧城市;华为概念;数据中心;ST板块;智能物流;军工;氢能源】	--		--		+1.00%		-0.78%		+0.00		+0.00%		80181		331578		--		--
SZ300168	万达信息	-0.38%		7.79		7.14亿		10.39亿		-54025322	1.25亿		7294.87万	124968688	9.02%		2.78		112.11亿	--		--		IT服务		【DRG/DIP;家庭医生;虚拟数字人;在线教育;数据要素;AI智能体;智慧政务;财税数字化;华为鲲鹏;MLOps概念;鸿蒙概念;区块链;网络安全;时空大数据;信创;数字乡村;华为盘古;数字经济;智慧城市;互联网保险;智能医疗;DeepSeek概念;人工智能;电子身份证;安防;算力租赁;养老概念;移动支付;华为概念;乡村振兴;数据中心;机器人概念;深股通;融资融券;AI应用】	--		--		+21.15%		+20.03%		+2.30		+2.30%		7473600		19327769	--		--
SZ300169	天晟新材	--		--		--		0.00		--		--		0.00		0		0.00%		0.00		19.70亿		--		--		化学制品	【建筑节能;露营经济;医疗器械概念;柔性屏(折叠屏);军工;华为概念;新能源汽车;风电;锂电池概念;OLED;小米概念】	--		--		+7.58%		+2.03%		--		--		--		--		--		--
SZ300170	汉得信息	+0.54%		29.55		73.88亿		102.21亿	-880122070	1.77亿		-3.74亿		176826460	34.00%		1.51		288.74亿	--		--		IT服务		【智谱AI;财税数字化;华为昇腾;中国AI 50;ERP概念;AIGC概念;AI智能体;抖音概念(字节概念);云计算;数据安全;虚拟数字人;信创;网络安全;百度概念;鸿蒙概念;阿里巴巴概念;腾讯概念;数据要素;区块链;华为概念;人工智能;车联网(车路协同);DeepSeek概念;小米概念;数据中心;数字经济;智能医疗;互联网金融;低空经济;工业互联网;C2M概念;长三角一体化;智能物流;海峡两岸;深股通;融资融券;AI应用】	--		--		+71.50%		+59.73%		+8.00		+8.00%		166425516	91458728	--		--
SZ300171	东富龙		-1.11%		17.78		3.82亿		4.91亿		-35352094	1573.94万	-257.86万	15739436	4.85%		1.76		100.04亿	--		--		医疗器械	【细胞免疫治疗;生物疫苗;合成生物;基因测序;医疗器械概念;独角兽概念;机器人概念;DeepSeek概念;华为概念;智能医疗;融资融券;深股通】	--		--		+11.54%		+16.36%		-0.28		-0.28%		2834733		3746246		--		--
SZ300172	中电环保	-0.17%		5.74		1.56亿		1.64亿		+4183820	499.43万	-161.81万	-5350012	5.46%		1.32		30.05亿		--		--		环境治理	【土壤修复;净水概念;生物质能发电;核污染防治;污水处理;固废处理;新型城镇化;PPP概念;PM2.5;超超临界发电;一带一路;核电;高端装备;物联网;专精特新;盐湖提锂】	--		--		+1.59%		+1.41%		+0.17		+0.17%		495936		931028		--		--
SZ300173	ST福能		-1.79%		4.38		1.53亿		1.37亿		-17837192	--		-2376.85万	-39498686	4.23%		0.99		32.18亿		--		--		电池		【网络安全;数据要素;数字经济;算力租赁;粤港澳大湾区;ST板块;华为概念;石墨烯;锂电池概念;国企改革;固态电池;数据中心;储能;新型工业化;新能源汽车;宁德时代概念;无线耳机;高端装备;消费电子概念】	--		--		+0.00%		-20.07%		+0.22		+0.22%		859581		2077872		--		--
SZ300174	元力股份	+0.31%		16.40		1.94亿		1.89亿		+16248594	206.86万	1197.16万	2068648		3.17%		1.40		59.52亿		--		--		化学制品	【超级电容;储能;PM2.5;海峡两岸;股权转让(并购重组);深股通;融资融券】	--		--		+3.99%		+5.94%		+0.06		+0.06%		2496536		2120520		--		--
SZ300175	ST朗源		+3.54%		6.15		4149.43万	8469.68万	+12930650	713.88万	777.83万	7138812		2.95%		2.66		28.95亿		--		--		农产品加工	【土地流转;ST板块;工业大麻;冷链物流;人民币贬值受益;期货概念;数字经济;数据中心】	--		--		+6.03%		+8.66%		+0.00		+0.00%		2970		680805		--		--
SZ300176	鸿特科技	-0.72%		6.85		9424.64万	8637.87万	-3609239	1597.27万	-489.93万	-12227166	3.24%		1.06		26.53亿		--		--		汽车零部件	【粤港澳大湾区;低空经济;人民币贬值受益;新能源汽车;特斯拉概念;宁德时代概念;股权转让(并购重组)】	--		--		+1.78%		+4.74%		-0.43		-0.43%		160071		498680		--		--
SZ300177	中海达		-5.83%		10.98		10.77亿		8.22亿		-25617390	1.18亿		-6332.73万	-114560660	12.20%		0.97		66.57亿		--		--		军工电子	【卫星导航;时空大数据;车联网(车路协同);低空经济;智慧城市;无人机;数字孪生;智能物流;无人驾驶;DeepSeek概念;旅游概念;水利;飞行汽车(eVTOL);百度概念;粤港澳大湾区;农机;一带一路;创投;虚拟现实;华为概念;海工装备;高铁;机器人概念;专精特新;3D打印;5G;汽车电子;芯片概念;人形机器人;深股通;融资融券】	--		--		+6.50%		+14.26%		-0.94		-0.94%		5348805		7564946		--		--
SZ300179	四方达		-3.85%		15.73		7.64亿		5.55亿		-58627922	--		-3986.53万	-76105305	9.33%		0.75		58.83亿		--		--		通用设备	【培育钻石;天然气;第三代半导体;海工装备;新能源汽车;专精特新;深股通;融资融券】	--		--		+3.69%		-3.20%		+0.12		+0.12%		1315314		6020831		--		--
SZ300180	华峰超纤	-3.73%		6.97		7.34亿		5.01亿		-39582949	1.66亿		-7660.66万	-144747300	4.14%		1.09		119.37亿	--		--		塑料制品	【数字货币;跨境支付(CIPS);移动支付;蚂蚁集团概念;互联网金融;低空经济;参股券商;区块链;一带一路;创投;数据要素;信创;工业互联网;华为汽车;华为鲲鹏;腾讯概念;华为概念;长安汽车概念;比亚迪概念;深股通;融资融券】	--		--		+5.77%		+10.46%		-0.55		-0.55%		2085840		4537470		--		--
SZ300181	佐力药业	+1.68%		16.91		1.96亿		4.02亿		-950607		6113.31万	1884.29万	61133143	3.95%		2.15		101.95亿	--		--		中药		【创新药;细胞免疫治疗;医药电商;共同富裕示范区;独角兽概念;融资融券;深股通】	--		--		+0.83%		-7.70%		+0.00		+0.00%		374175		2911902		--		--
SZ300182	捷成股份	-0.75%		6.64		23.12亿		29.96亿		-437629100	2.34亿		-6902.07万	233776070	19.46%		2.99		149.99亿	--		--		影视院线	【Sora概念(文生视频);AI语料;ChatGPT概念;快手概念;短剧游戏;AIGC概念;华为盘古;AI智能体;多模态AI;虚拟数字人;NFT概念;文化传媒概念;在线教育;抖音概念(字节概念);华为昇腾;腾讯概念;元宇宙;百度概念;阿里巴巴概念;数据要素;DeepSeek概念;数字经济;人工智能;虚拟现实;IP经济(谷子经济);华为概念;小米概念;深股通;融资融券;AI应用】	--		--		+23.88%		+23.19%		+1.79		+1.79%		16630020	19905392	--		--
SZ300183	东软载波	-2.24%		15.74		2.06亿		1.47亿		-6623796	2106.18万	-481.71万	-17631039	2.28%		1.22		63.99亿		--		--		通信设备	【智慧城市;物联网;人工智能;知识产权保护;国产操作系统;智能家居;工业互联网;阿里巴巴概念;专精特新;电力物联网;小米概念;数据中心;充电桩;智能电网;芯片概念;储能;虚拟电厂;国企改革;苹果概念;MCU芯片;风电;深股通;融资融券】	--		--		+6.57%		+6.93%		-0.06		-0.06%		995971		1120688		--		--
